scenario 1   40024 records
scenario 2   40443 records
scenario 3   39727 records
scenario 4   40117 records
scenario 5   40183 records
scenario 6   39594 records
scenario 7   40194 records
scenario 8   39900 records
scenario 9   39881 records
scenario 10   39876 records
scenario 11   40370 records
scenario 12   40211 records
scenario 13   40315 records
scenario 14   40124 records
scenario 15   40005 records
scenario 16   39937 records
scenario 17   39809 records
scenario 18   39927 records
scenario 19   40020 records
scenario 20   40093 records
scenario 21   39801 records
scenario 22   39624 records
scenario 23   40129 records
scenario 24   39976 records
scenario 25   39880 records
