scenario 1   20144 records
scenario 2   20052 records
scenario 3   20327 records
scenario 4   20173 records
scenario 5   20289 records
scenario 6   20180 records
scenario 7   20109 records
scenario 8   19803 records
scenario 9   20097 records
scenario 10   20192 records
scenario 11   20218 records
scenario 12   20021 records
scenario 13   20054 records
scenario 14   20080 records
scenario 15   20160 records
scenario 16   20167 records
scenario 17   20268 records
scenario 18   20419 records
scenario 19   19932 records
scenario 20   20159 records
scenario 21   20083 records
scenario 22   20152 records
scenario 23   20015 records
scenario 24   19937 records
scenario 25   19989 records
